Date,Open,High,Low,Close,Adj Close,Volume
2012-11-01,91.540001,93.199997,91.540001,93.010002,89.96479000000001,1738000
2012-11-02,93.370003,93.980003,92.370003,92.639999,89.606888,1384100
2012-11-05,92.470001,92.940002,92.139999,92.839996,89.80034599999999,1066800
2012-11-06,92.889999,93.790001,92.550003,93.389999,90.332336,1349000
2012-11-07,92.709999,92.730003,91.0,91.510002,88.513878,1575700
2012-11-08,91.410004,91.739998,90.0,90.029999,87.082336,1461300
2012-11-09,89.949997,90.410004,89.32,89.730003,86.792175,1938700
2012-11-12,89.730003,90.58000200000001,89.58000200000001,90.08000200000001,87.13069899999999,1347700
2012-11-13,89.66999799999999,91.5,89.25,90.459999,87.498276,1682000
2012-11-14,90.489998,90.660004,86.940002,87.120003,84.267624,2591500
2012-11-15,87.120003,87.769997,85.93,86.540001,83.70661899999999,2410400
2012-11-16,86.230003,86.739998,85.150002,86.129997,83.31004300000001,2142600
2012-11-19,87.050003,87.389999,85.800003,87.0,84.288551,1984300
2012-11-20,87.25,87.839996,86.809998,87.349998,84.62763199999999,1803500
2012-11-21,87.900002,88.059998,87.220001,87.650002,84.918312,1550300
2012-11-23,87.800003,87.949997,86.849998,87.730003,84.995811,850500
2012-11-26,87.120003,88.480003,87.120003,88.459999,85.70307199999999,1721000
2012-11-27,88.790001,89.660004,88.41999799999999,88.699997,85.93557,2421700
2012-11-28,88.32,89.519997,87.940002,89.489998,86.70094300000001,2049600
2012-11-29,89.970001,91.160004,89.809998,90.800003,87.970139,2623100
2012-11-30,90.849998,90.940002,89.040001,89.529999,86.739716,2029700
2012-12-03,89.980003,89.980003,87.989998,88.129997,85.383339,1845700
2012-12-04,88.150002,89.07,88.019997,88.389999,85.635246,1488400
2012-12-05,88.559998,89.93,88.07,89.43,86.64283,1837000
2012-12-06,89.300003,89.5,88.650002,89.260002,86.478127,1078000
2012-12-07,89.540001,89.910004,88.800003,89.360001,86.575005,1108600
2012-12-10,89.389999,90.589996,89.220001,90.529999,87.70854200000001,1406900
2012-12-11,90.650002,91.489998,89.690002,90.25,87.437263,2276300
2012-12-12,89.089996,90.529999,89.019997,89.709999,86.914101,2113400
2012-12-13,89.58000200000001,90.5,89.290001,89.709999,86.914101,1699000
2012-12-14,89.760002,90.93,89.349998,90.089996,87.282265,1813500
2012-12-17,90.400002,91.150002,90.360001,91.019997,88.183266,1832000
2012-12-18,90.889999,93.209999,90.410004,92.360001,89.481491,3130100
2012-12-19,93.120003,95.440002,93.050003,93.199997,90.29534100000001,5324300
2012-12-20,93.0,93.629997,91.540001,93.269997,90.363136,4270900
2012-12-21,92.07,93.290001,91.839996,92.739998,89.849663,2912600
2012-12-24,92.709999,92.800003,91.940002,92.139999,89.268372,607300
2012-12-26,92.339996,92.970001,91.739998,92.07,89.200539,904700
2012-12-27,91.959999,91.970001,90.150002,91.5,88.6483,1580300
2012-12-28,91.0,91.480003,90.349998,90.389999,87.572914,981300
2012-12-31,90.33000200000001,91.800003,90.050003,91.720001,88.861465,1451700
2013-01-02,93.459999,95.190002,93.370003,94.25,91.312599,2020100
2013-01-03,94.120003,95.16999799999999,94.120003,94.599998,91.65168800000001,1723800
2013-01-04,94.800003,95.050003,94.360001,94.910004,91.952042,1500600
2013-01-07,94.410004,94.75,94.25,94.720001,91.767944,1148600
