0,Multi-Utilities
1,Cable & Satellite
2,Health Care Equipment
3,Biotechnology
4,Aerospace & Defense
5,Pharmaceuticals
6,Regional Banks
7,Retail REITs
8,Internet Software & Services
9,Oil & Gas Exploration & Production
