clusts10,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Telecommunication Services,Utilities
0,2,4,0,2,0,1,1,1,4,0,22
1,17,0,11,4,10,9,10,7,1,0,0
2,13,0,0,3,11,14,24,5,1,0,0
3,12,0,0,0,13,5,9,0,2,1,0
4,29,9,3,14,16,26,16,7,2,2,2
5,3,1,0,0,3,1,1,0,0,0,0
6,3,0,1,36,0,5,1,2,1,0,0
7,1,17,0,4,6,2,3,1,22,0,3
8,0,0,0,0,0,0,1,0,0,0,0
9,0,0,17,0,0,0,0,1,0,0,0
