clusts3,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Telecommunication Services,Utilities
0,14,1,0,4,14,10,14,2,4,1,5
1,55,28,9,57,36,47,47,18,28,2,22
2,11,2,23,2,9,6,5,4,1,0,0
