clusts8,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Telecommunication Services,Utilities
0,10,6,4,2,14,6,11,2,17,0,1
1,12,19,1,5,14,12,12,3,11,2,25
2,10,0,1,42,5,23,22,10,2,0,1
3,9,0,0,0,11,5,8,0,2,1,0
4,2,1,4,0,2,1,1,0,0,0,0
5,0,0,19,0,0,2,0,3,0,0,0
6,37,5,3,14,13,14,11,6,1,0,0
7,0,0,0,0,0,0,1,0,0,0,0
