,clusts3,clusts5,clusts8,clusts10,Ticker symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK
420,1,3,6,4,SNA,Snap-On Inc.,reports,Consumer Discretionary,Household Appliances,"Kenosha, Wisconsin",1982-09-30,91440
121,1,0,1,4,KO,Coca-Cola Company (The),reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",,21344
482,0,0,1,0,WM,Waste Management Inc.,reports,Industrials,Environmental & Facilities Services,"Houston, Texas",,823768
262,1,3,2,6,JEC,Jacobs Engineering Group,reports,Industrials,Construction & Engineering,"Pasadena, California",2007-10-26,52988
308,1,4,6,7,MRK,Merck & Co.,reports,Health Care,Pharmaceuticals,"Whitehouse Station, New Jersey",,310158
384,1,0,1,0,PSA,Public Storage,reports,Real Estate,Specialized REITs,"Glendale, California",2005-08-19,1393311
326,2,1,4,5,MYL,Mylan N.V.,reports,Health Care,Pharmaceuticals,"Amsterdam, Netherlands",2004-04-23,69499
470,1,0,0,7,VTR,Ventas Inc,reports,Real Estate,Health Care REITs,"Chicago, Illinois",2009-03-04,740260
357,1,3,2,4,PH,Parker-Hannifin,reports,Industrials,Industrial Machinery,"Cleveland, Ohio",1985-11-30,76334
328,1,3,5,6,NOV,National Oilwell Varco Inc.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2005-03-14,1021860
179,1,4,0,7,EQR,Equity Residential,reports,Real Estate,Residential REITs,"Chicago, Illinois",2001-12-03,906107
448,1,4,0,7,TDG,TransDigm Group,reports,Industrials,Aerospace & Defense,"Cleveland, Ohio",2016-06-03,1260221
201,2,1,5,1,FLR,Fluor Corp.,reports,Industrials,Construction & Engineering,"Irving, Texas",1980-03-31,1124198
322,1,4,6,2,MCO,Moody's Corp,reports,Financials,Financial Exchanges & Data,"New York, New York",,1059556
215,1,0,1,7,GIS,General Mills,reports,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",1969-03-31,40704
364,1,3,2,2,PKI,PerkinElmer,reports,Health Care,Health Care Equipment,"Waltham, Massachusetts",1985-05-31,31791
403,1,3,6,2,COL,Rockwell Collins,reports,Industrials,Aerospace & Defense,"Cedar Rapids, Iowa",2001-07-02,1137411
141,1,4,6,1,DHR,Danaher Corp.,reports,Health Care,Health Care Equipment,"Washington, D.C.",,313616
301,0,3,2,2,MAS,Masco Corp.,reports,Industrials,Building Products,"Taylor, Michigan",1981-06-30,62996
248,1,4,0,2,ILMN,Illumina Inc,reports,Health Care,Life Sciences Tools & Services,"San Diego, California",2015-11-19,1110803
66,1,3,2,6,BK,The Bank of New York Mellon Corp.,reports,Financials,Asset Management & Custody Banks,"New York, New York",,1390777
255,1,4,0,1,IPG,Interpublic Group,reports,Consumer Discretionary,Advertising,"New York, New York",1992-10-01,51644
102,1,3,2,6,CF,CF Industries Holdings Inc,reports,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",2008-08-27,1324404
373,1,0,6,4,RL,Polo Ralph Lauren Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2007-02-02,1037038
