clusts5,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Telecommunication Services,Utilities
0,17,19,2,5,11,13,9,1,11,2,25
1,3,1,13,0,3,2,2,1,0,0,0
2,12,0,0,0,13,5,10,0,3,1,0
3,19,0,6,46,10,26,28,11,2,0,1
4,29,11,11,12,22,17,17,11,17,0,1
