0,Multi-Utilities
1,Industrial Machinery
2,Biotechnology
3,Cable & Satellite
4,Health Care Equipment
5,Regional Banks
6,Internet Software & Services
7,Airlines
8,Household Products
9,Oil & Gas Exploration & Production
