clusts10,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Telecommunication Services,Utilities
0,2,12,0,0,4,2,0,2,26,1,22
1,14,0,4,5,1,19,12,11,2,0,0
2,3,0,0,0,15,1,3,0,0,0,0
3,14,2,1,0,3,2,1,0,0,1,2
4,7,4,0,10,22,10,20,7,3,0,1
5,3,0,0,36,0,6,6,1,0,0,0
6,11,1,4,3,5,6,18,0,1,0,0
7,5,0,0,0,1,5,0,0,0,0,0
8,21,12,0,9,8,11,5,1,1,1,0
9,0,0,23,0,0,1,1,2,0,0,2
