clusts8,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Telecommunication Services,Utilities
0,4,0,0,36,0,6,7,1,0,0,0
1,4,1,4,1,2,5,1,1,1,0,0
2,19,0,3,7,0,23,14,11,2,0,0
3,8,9,0,11,9,9,12,2,12,0,22
4,0,0,24,0,0,1,1,2,0,0,2
5,10,1,0,4,22,6,27,7,1,0,0
6,19,18,0,4,12,10,2,0,17,2,3
7,16,2,1,0,14,3,2,0,0,1,0
